timestamp,DL_bitrate
927.0,1456
928.0,8340
929.0,7448
929.0,7448
930.0,8436
931.0,9609
932.0,7880
933.0,2996
935.0,7802
936.0,6466
937.0,9821
939.0,10378
939.0,2440
940.0,2
940.0,2
941.0,9457
942.0,29555
944.0,28323
945.0,24682
946.0,40721
947.0,37563
948.0,21926
949.0,14962
950.0,16047
953.0,15551
954.0,1
954.0,1
955.0,6095
956.0,11445
957.0,11376
958.0,11103
959.0,10627
961.0,10675
962.0,11427
963.0,10568
964.0,11428
965.0,10353
967.0,0
968.0,0
968.0,888
970.0,11230
971.0,18181
972.0,17956
973.0,24961
974.0,18889
975.0,25631
976.0,43076
977.0,44801
979.0,32095
981.0,18211
982.0,2
982.0,2
983.0,7848
984.0,12489
985.0,25574
986.0,37458
988.0,20787
989.0,34137
990.0,34621
991.0,38107
992.0,41372
993.0,47516
994.0,35591
995.0,1
996.0,1
997.0,3388
998.0,9843
999.0,14670
1000.0,22716
1001.0,6685
1002.0,4725
1003.0,1793
1005.0,19514
1006.0,34156
1007.0,42406
1007.0,42406
1009.0,4657
1010.0,4657
1010.0,4152
1011.0,24415
1012.0,26719
1014.0,148771
1015.0,199452
1016.0,183442
1017.0,164615
1018.0,168964
1019.0,158351
1020.0,167795
1021.0,167795
1021.0,153261
1022.0,83377
1023.0,2
1024.0,2
1025.0,10271
1026.0,19597
1027.0,21434
1028.0,20377
1029.0,21209
1030.0,20433
1031.0,21807
1033.0,2501
1034.0,6340
1035.0,8044
1036.0,6846
1037.0,0
1037.0,0
1038.0,1410
1039.0,5486
1040.0,3425
1042.0,3551
1043.0,13269
1044.0,18676
1045.0,19142
1046.0,19065
1047.0,12717
1048.0,1441
1051.0,0
1051.0,0
1052.0,0
1053.0,0
1054.0,0
1054.0,0
1055.0,0
1056.0,0
1057.0,0
1060.0,0
1061.0,0
1062.0,0
1063.0,0
1064.0,0
1065.0,0
1066.0,0
1067.0,0
1068.0,0
1069.0,0
1070.0,0
1071.0,0
1072.0,1626
1073.0,5372
1074.0,5372
1074.0,2387
1076.0,22
1077.0,3258
1078.0,10327
1079.0,15668
1080.0,17634
1081.0,0
1082.0,0
1082.0,7372
1084.0,33998
1085.0,33347
1085.0,33347
1086.0,32964
1087.0,33551
1088.0,33993
1089.0,34250
1090.0,8055
1092.0,11407
1093.0,9861
1095.0,629
1096.0,629
1096.0,423
1097.0,9623
1098.0,11058
1099.0,11835
1100.0,5607
1102.0,17091
1103.0,19287
1104.0,20198
1105.0,20854
1106.0,19799
1107.0,20734
1108.0,12014
1109.0,2
1110.0,2
1111.0,14408
1112.0,17298
1113.0,2572
1114.0,11
1115.0,7950
1116.0,17870
1117.0,19711
1118.0,10162
1120.0,17016
1121.0,19496
1121.0,19496
1122.0,19574
1123.0,0
1123.0,0
1124.0,8230
1125.0,6142
1126.0,6643
1127.0,9929
1129.0,6746
1130.0,10425
1131.0,9681
1132.0,9274
1133.0,7884
1134.0,4615
1135.0,3223
1136.0,2427
1137.0,2
1137.0,2
1139.0,13405
1140.0,20054
1141.0,19717
1142.0,18851
1143.0,19824
1144.0,67529
1145.0,85368
1147.0,85775
1148.0,227515
1150.0,219704
1151.0,0
1151.0,0
1152.0,15386
1153.0,155525
1154.0,342720
1155.0,418552
1156.0,319806
1157.0,360059
1159.0,371493
1160.0,391567
1161.0,410941
1162.0,362584
1163.0,370029
1164.0,145828
1165.0,2
1165.0,2
1166.0,22419
1167.0,33394
1168.0,78186
1170.0,119446
1171.0,163551
1172.0,161593
1173.0,165929
1174.0,32950
1175.0,7369
1176.0,2356
1178.0,2414
1179.0,1
1179.0,1
1180.0,8498
1181.0,18227
1182.0,18227
1182.0,16045
1183.0,17642
1184.0,19672
1185.0,28948
1187.0,81572
1188.0,87332
1189.0,93907
1190.0,96269
1191.0,85046
1192.0,0
1193.0,0
1193.0,8490
1194.0,8490
1195.0,58961
1196.0,220201
1197.0,223028
1198.0,182030
1199.0,246726
1200.0,275160
1201.0,170784
1202.0,55023
1203.0,10712
1204.0,13114
1206.0,3008
